state,votes,Biden,Trump,diff,undecided,lean_score,limit_lean_score,est_biden,est_trump,pct_biden,pct_trump,result,cumulative_votes,trump_votes_away,votes_away_magnitude,importance,tipping_rank,importance_2
West Virginia,5,32.10822142943383,66.69405948604063,-34.585838056606796,1.197719084525545,-15.737151440386826,-15.737151440386826,-36.84287860096707,41.84287860096706,-7.368575720193413,8.368575720193412,safe trump,5,-264,264,0.01893939393939394,49,0.10204081632653061
Oklahoma,7,36.390617790351854,62.62703231491632,-26.236414524564466,0.9823498947318257,-13.235006894740827,-13.235006894740827,-42.8225241315929,49.8225241315929,-6.117503447370414,7.117503447370414,safe trump,12,-257,257,0.027237354085603113,48,0.14583333333333334
Wyoming,3,32.42039208069504,65.89552575401872,-33.47513367332368,1.6840821652862417,-12.471724638784952,-12.471724638784952,-17.20758695817743,20.20758695817743,-5.735862319392476,6.735862319392476,safe trump,15,-254,254,0.011811023622047244,46,0.06521739130434782
South Dakota,3,37.74953236078503,60.41284978142054,-22.663317420635508,1.8376178577944273,-7.9867404831779725,-7.9867404831779725,-10.48011072476696,13.480110724766957,-3.4933702415889862,4.493370241588986,safe trump,18,-251,251,0.01195219123505976,44,0.06818181818181818
Arkansas,6,39.326048984410825,59.15820238599002,-19.8321534015792,1.515748629599159,-7.883201512362191,-7.883201512362191,-20.64960453708657,26.649604537086574,-3.4416007561810953,4.441600756181096,safe trump,24,-245,245,0.024489795918367346,42,0.14285714285714285
Kentucky,8,40.37030661020726,58.06283586532729,-17.69252925512003,1.566857524465462,-6.892680675295536,-6.892680675295536,-23.570722701182145,31.570722701182145,-2.946340337647768,3.946340337647768,safe trump,32,-237,237,0.03375527426160337,40,0.2
North Dakota,3,39.68389167306657,58.49150212908405,-18.80761045601748,1.8246061978493913,-6.658489410076804,-6.658489410076804,-8.487734115115206,11.487734115115206,-2.829244705038402,3.829244705038402,safe trump,35,-234,234,0.01282051282051282,38,0.07894736842105263
Mississippi,6,39.694891315602476,58.25300297080148,-18.558111655199006,2.0521057135960348,-6.0804288568804425,-6.0804288568804425,-15.241286570641329,21.24128657064133,-2.5402144284402213,3.5402144284402213,safe trump,41,-228,228,0.02631578947368421,37,0.16216216216216217
Alabama,9,38.16617988526265,59.288547027885976,-21.122367142623325,2.545273086851381,-5.957895661398109,-5.957895661398109,-22.310530476291493,31.310530476291493,-2.4789478306990547,3.4789478306990547,safe trump,50,-219,219,0.0410958904109589,34,0.2647058823529412
Idaho,4,40.06534022045674,57.79929215968279,-17.733951939226053,2.1353676198604603,-5.656099727155855,-5.656099727155855,-9.31219945431171,13.31219945431171,-2.3280498635779274,3.3280498635779274,safe trump,54,-215,215,0.018604651162790697,33,0.12121212121212122
Louisiana,8,37.99324967913655,59.05933521900424,-21.066085539867693,2.9474151018592067,-5.336678559583385,-5.336678559583385,-17.34671423833354,25.34671423833354,-2.1683392797916925,3.1683392797916925,safe trump,62,-207,207,0.03864734299516908,32,0.25
Alaska,3,44.841408515730805,53.600353023633616,-8.758944507902811,1.5582384606355788,-3.4238186325002338,-3.4238186325002338,-3.6357279487503504,6.635727948750351,-1.2119093162501169,2.211909316250117,safe trump,65,-204,204,0.014705882352941176,31,0.0967741935483871
Utah,6,43.28282273886524,54.44560775641911,-11.162785017553865,2.271569504715643,-3.4120580355892844,-3.4120580355892844,-7.236174106767853,13.236174106767853,-1.2060290177946422,2.206029017794642,safe trump,71,-198,198,0.030303030303030304,30,0.2
Nebraska,5,44.387545103570716,53.69741816473005,-9.309873061159337,1.9150367316992316,-3.1937412520124338,-3.1937412520124338,-5.484353130031084,10.484353130031083,-1.0968706260062169,2.0968706260062167,safe trump,76,-193,193,0.025906735751295335,29,0.1724137931034483
Tennessee,11,45.09477728741279,53.283451457008816,-8.188674169596027,1.6217712555783947,-3.1233366191550167,-3.1233366191550167,-11.678351405352592,22.678351405352593,-1.0616683095775084,2.0616683095775086,safe trump,87,-182,182,0.06043956043956044,28,0.39285714285714285
Kansas,6,44.340833588892714,53.488644752731396,-9.147811163838682,2.1705216583758897,-2.8852700437077847,-2.8852700437077847,-5.655810131123355,11.655810131123355,-0.9426350218538924,1.9426350218538924,safe trump,93,-176,176,0.03409090909090909,27,0.2222222222222222
Indiana,11,43.963893054080124,53.65512418812771,-9.691231134047584,2.380982757792168,-2.866394722573534,-2.866394722573534,-10.265170974154437,21.265170974154437,-0.933197361286767,1.933197361286767,safe trump,104,-165,165,0.06666666666666667,25,0.44
Missouri,10,44.00656086940089,53.47461411425924,-9.468053244858346,2.5188250163398607,-2.69068601049865,-2.69068601049865,-8.45343005249325,18.45343005249325,-0.8453430052493249,1.845343005249325,safe trump,114,-155,155,0.06451612903225806,24,0.4166666666666667
South Carolina,9,43.42233739458067,53.4390129240145,-10.016675529433826,3.1386496814048286,-2.420276249627814,-2.420276249627814,-6.391243123325163,15.391243123325163,-0.7101381248139069,1.710138124813907,safe trump,123,-146,146,0.06164383561643835,23,0.391304347826087
Montana,3,45.822873258547325,51.291738961563865,-5.46886570301654,2.8853877798888163,-1.4075469458477157,-1.4075469458477157,-0.6113204187715735,3.6113204187715735,-0.20377347292385783,1.2037734729238578,likely trump,126,-143,143,0.02097902097902098,22,0.13636363636363635
Ohio,18,47.50559142409512,50.05561334543877,-2.5500219213436495,2.4387952304660985,-0.7415451489381112,-0.7415451489381112,2.3260936595569994,15.673906340443,0.1292274255309444,0.8707725744690555,lean trump,144,-125,125,0.144,19,0.9473684210526315
Texas,38,48.3702437255271,49.27041029283032,-0.9001665673032235,2.3593459816425764,-0.267958874204163,-0.267958874204163,13.908781390120904,24.091218609879096,0.3660205628979185,0.6339794371020815,toss-up,182,-87,87,0.4367816091954023,15,2.533333333333333
Iowa,6,48.87879435057842,49.12888015685683,-0.25008580627841326,1.9923254925647598,-0.08357573629600755,-0.08357573629600755,2.749272791111977,3.2507272088880224,0.4582121318519962,0.5417878681480037,toss-up,188,-81,81,0.07407407407407407,14,0.42857142857142855
Florida,29,49.14896834772376,48.281682585046816,0.8672857626769428,2.5693490672294246,0.2429814922389032,0.2429814922389032,18.023231637464097,10.976768362535903,0.6214907461194517,0.37850925388054835,toss-up,217,-52,52,0.5576923076923077,9,3.2222222222222223
Nevada,6,49.69692890379319,48.10915539061044,1.5877735131827535,2.1939157055963676,0.4971244264213556,0.4971244264213556,4.491373279264067,1.508626720735933,0.7485622132106778,0.25143778678932216,toss-up,223,-46,46,0.13043478260869565,8,0.75
Georgia,16,50.69919080753314,46.954036225300875,3.745154582232267,2.3467729671659754,1.119034550289092,1.119034550289092,16.952276402312734,-0.9522764023127355,1.0595172751445459,-0.059517275144545856,likely biden,239,-30,30,0.5333333333333333,4,4.0
North Carolina,15,51.07528574671135,46.83071670508253,4.2445690416288215,2.0939975482061186,1.3718721412981718,1.3718721412981718,17.78904105973629,-2.7890410597362885,1.185936070649086,-0.18593607064908602,likely biden,254,-15,15,1.0,2,7.5
Pennsylvania,20,51.59237808614276,45.92185364636269,5.670524439780067,2.4857682674945494,1.62676460528337,1.62676460528337,26.267646052833697,-6.267646052833699,1.3133823026416849,-0.3133823026416849,likely biden,274,5,5,4.0,1,20.0
Michigan,16,52.127090557006156,45.00411045881891,7.122980098187249,2.86879898417493,1.8411347106229439,1.8411347106229439,22.72907768498355,-6.729077684983551,1.420567355311472,-0.42056735531147194,likely biden,290,21,21,0.7619047619047619,3,5.333333333333333
